States,x,y
Jammu Kashmir,-99.0,237.0
Andhra Pradesh,-73.0,-139.0
Arunachal Pradesh,206.0,113.0
Assam,180.0,69.0
Bihar,61.0,57.0
Chhattisgarh,-16.0,-32.0
Goa,-161.0,-144.0
Gujarat,-201.0,-2.0
Haryana,-104.0,125.0
Himachal Pradesh,-83.0,179.0
Jharkhand,43.0,15.0
Karnataka,-138.0,-174.0
Kerala,-123.0,-255.0
Madhya Pradesh,-78.0,2.0
Maharashtra,-136.0,-62.0
Manipur,202.0,38.0
Meghalaya,147.0,54.0
Mizoram,179.0,8.0
Nagaland,209.0,69.0
Odisha,30.0,-54.0
Punjab,-114.0,162.0
Rajasthan,-150.0,78.0
Sikkim,102.0,91.0
Tamil Nadu,-89.0,-233.0
Tripura,160.0,20.0
Uttar Pradesh,-38.0,84.0
Uttarakhand,-57.0,149.0
West Bengal,95.0,-2.0
